Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"3 Biotech","3 Biotech","2190-572X","2190-5738","Springer","101565857","v.7(2);Jun 2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1811/
"The AAPS Journal","AAPS J","","1550-7416","American Association of Pharmaceutical Scientists","101223209","v.18(3);May 2016","v.6;2004","","Some"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/792/
"AAPS PharmSci","AAPS PharmSci","","1522-1059","American Association of Pharmaceutical Scientists","100897065","v.6(2);Jun 2004","v.1;1999","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/989/
"AAPS PharmSciTech","AAPS PharmSciTech","","1530-9932","American Association of Pharmaceutical Scientists","100960111","v.17(2);Apr 2016","v.1;2000","","Some"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/793/
"ACG Case Reports Journal","ACG Case Rep J","","2326-3253","American College of Gastroenterology","101638398","v.4;2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2725/
"ACS Central Science","ACS Cent Sci","2374-7943","2374-7951","American Chemical Society","101660035","v.3(5);May 24, 2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2967/
"ACS Chemical Neuroscience","ACS Chem Neurosci","","1948-7193","American Chemical Society","101525337","v.5(8);Aug 20, 2014","v.1;2010","","Some"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1791/
"ACS Medicinal Chemistry Letters","ACS Med Chem Lett","","1948-5875","American Chemical Society","101521073","v.8(5);May 11, 2017","v.1;2010","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2426/
"Acta Biochimica et Biophysica Sinica","Acta Biochim Biophys Sin (Shanghai)","1672-9145","1745-7270","Oxford University Press","101206716","v.49(5);May 2017","v.41;2009","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Biochim+Biophys+Sin+(Shanghai)%22%5Bjournal%5D
"Acta Cardiologica Sinica","Acta Cardiol Sin","1011-6842","","Taiwan Society of Cardiology","101687085","v.33(3);May 2017","v.29;2013","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2910/
"Acta Crystallographica Section A: Foundations of Crystallography","Acta Crystallogr A","0108-7673","1600-5724","International Union of Crystallography","8305825","v.69(Pt 5);Sep 1, 2013","v.63;2007","12 months","Some"," NIH Portfolio "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A%22%5Bjournal%5D
"Acta Crystallographica. Section A, Foundations and Advances","Acta Crystallogr A Found Adv","","2053-2733","International Union of Crystallography","101620182","v.73(Pt 3);May 1, 2017","v.70;2014","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A+Found+Adv%22%5Bjournal%5D
