JournalTitle,MedAbbr,NlmId,ImpactFactor
Chemical reviews,Chem Rev,2985134R,47.928
"Lancet (London, England)",Lancet,2985213R,47.831
Nature biotechnology,Nat Biotechnol,9604648,41.667
Nature,Nature,0410462,40.137
Nature materials,Nat Mater,101155473,39.737
Nature nanotechnology,Nat Nanotechnol,101283273,38.986
Chemical Society reviews,Chem Soc Rev,0335405,38.618
Nature photonics,Nat Photonics,101283276,37.852
"Science (New York, N.Y.)",Science,0404511,37.205
Science,Science (80- ),8000640,37.205
Reviews of modern physics,Rev Mod Phys,0401307,36.917
Progress in materials science,Prog Mater Sci,101558282,31.14
Annual review of astronomy and astrophysics,Annu Rev Astron Astrophys,101137067,30.733
Cell,Cell,0413066,30.41
Nature medicine,Nat Med,9502015,29.886
Energy & environmental science,Energy Environ Sci,101513897,29.518
Living reviews in relativity,Living Rev Relativ,101697608,29.3
Annual review of immunology,Annu Rev Immunol,8309206,28.396
Nature genetics,Nat Genet,9216904,27.959
Cancer cell,Cancer Cell,101130617,27.407
Physiological reviews,Physiol Rev,0231714,27.312
World psychiatry : official journal of the World Psychiatric Association (WPA),World Psychiatry,101189643,26.561
Nature chemistry,Nat Chem,101499734,25.87
Progress in polymer science,Prog Polym Sci,0361046,25.766
Nature methods,Nat Methods,101215604,25.062
Cell stem cell,Cell Stem Cell,101311472,23.394
Immunity,Immunity,9432918,22.845
Annual review of plant biology,Annu Rev Plant Biol,101140127,22.808
Nature physics,Nat Phys,101235387,22.806
Advances in physics,Adv Phys,0370440,21.818
Nature immunology,Nat Immunol,100941354,21.506
Accounts of chemical research,Acc Chem Res,0157313,20.268
Nature cell biology,Nat Cell Biol,100890575,20.06
Cancer discovery,Cancer Discov,101561693,20.011
Clinical microbiology reviews,Clin Microbiol Rev,8807282,19.958
Annual review of psychology,Annu Rev Psychol,0372374,19.95
Annual review of biochemistry,Annu Rev Biochem,2985150R,19.939
Journal of the American College of Cardiology,J Am Coll Cardiol,8301365,19.896
European heart journal,Eur Heart J,8006263,19.651
Circulation,Circulation,0147763,19.309
Nature climate change,Nat Clim Chang,101557419,19.304
Annual review of condensed matter physics,Annu Rev Condens Matter Phys,101679108,18.588
Gastroenterology,Gastroenterology,0374630,18.392
Cell metabolism,Cell Metab,101233170,18.164
Pharmacological reviews,Pharmacol Rev,0421737,17.893
Nature neuroscience,Nat Neurosci,9809671,17.839
Advances in optics and photonics,Adv Opt Photonics,101635418,17.833
Nano today,Nano Today,101297352,17.476
Progress in energy and combustion science,Prog Energy Combust Sci,101606883,17.382
Annals of internal medicine,Ann Intern Med,0372351,17.135
Science translational medicine,Sci Transl Med,101505086,16.796
Psychological bulletin,Psychol Bull,0376473,16.793
Advanced energy materials,Adv Energy Mater,101557036,16.721
Gut,Gut,2985108R,16.658
Trends in biochemical sciences,Trends Biochem Sci,7610674,16.63
JAMA oncology,JAMA Oncol,101652861,16.559
JAMA internal medicine,JAMA Intern Med,101589534,16.538
Psychological inquiry,Psychol Inq,9010521,16.455
European urology,Eur Urol,7512719,16.265
Endocrine reviews,Endocr Rev,8006258,15.745
Annual review of neuroscience,Annu Rev Neurosci,7804039,15.63
Cell research,Cell Res,9425763,15.606
Trends in cognitive sciences,Trends Cogn Sci,9708669,15.402
Trends in cell biology,Trends Cell Biol,9200566,15.333
JAMA psychiatry,JAMA Psychiatry,101589550,15.307
Trends in ecology & evolution,Trends Ecol Evol,8805125,15.268
Nature chemical biology,Nat Chem Biol,101231976,15.066
Cell host & microbe,Cell Host Microbe,101302316,14.946
Annual review of cell and developmental biology,Annu Rev Cell Dev Biol,9600627,14.917
Annual review of physical chemistry,Annu Rev Phys Chem,15040080R,14.741
Molecular cell,Mol Cell,9802571,14.714
Neuron,Neuron,8809320,14.024
Annual review of fluid mechanics,Annu Rev Fluid Mech,101165244,14.02
Studies in mycology,Stud Mycol,8411984,14
Circulation research,Circ Res,0047103,13.965
ACS nano,ACS Nano,101313589,13.942
Nature geoscience,Nat Geosci,101482213,13.941
Journal of the American Chemical Society,J Am Chem Soc,7503056,13.858
Physics of life reviews,Phys Life Rev,101229718,13.84
Applied physics reviews,Appl Phys Rev,101634369,13.667
Annual review of medicine,Annu Rev Med,2985151R,13.609
Fungal diversity,Fungal Divers,100955518,13.465
Annual review of materials research,Annu Rev Mater Res,101141239,13.432
Surface science reports,Surf Sci Rep,101550866,13.333
Coordination chemistry reviews,Coord Chem Rev,0271103,13.324
Trends in immunology,Trends Immunol,100966032,13.287
"Hepatology (Baltimore, Md.)",Hepatology,8302946,13.246
Progress in neurobiology,Prog Neurobiol,0370121,13.217
Progress in neurobiology,Prog Neurobiol,19830410R,13.217
American journal of respiratory and critical care medicine,Am J Respir Crit Care Med,9421642,13.204
Molecular psychiatry,Mol Psychiatry,9607835,13.204
Blood,Blood,7603509,13.164
Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol,7607088,12.877
Annual review of entomology,Annu Rev Entomol,0372367,12.867
Annals of the rheumatic diseases,Ann Rheum Dis,0372355,12.811
Trends in pharmacological sciences,Trends Pharmacol Sci,7906158,12.797
Nano letters,Nano Lett,101088070,12.712
Nature structural & molecular biology,Nat Struct Mol Biol,101186374,12.595
Journal of hepatology,J Hepatol,8503886,12.486
Living reviews in solar physics,Living Rev Sol Phys,101681537,12.455
Annual review of marine science,Ann Rev Mar Sci,101536246,12.333
Acta neuropathologica,Acta Neuropathol,0412041,12.213
FEMS microbiology reviews,FEMS Microbiol Rev,8902526,12.198
Annual review of clinical psychology,Annu Rev Clin Psychol,101235325,12.136
Advanced functional materials,Adv Funct Mater,101190390,12.124
Nature communications,Nat Commun,101528555,12.124
Intensive care medicine,Intensive Care Med,7704851,12.015
Genome research,Genome Res,9518021,11.922
Trends in plant science,Trends Plant Sci,9890299,11.911
Genome biology,Genome Biol,100960660,11.908
PLoS medicine,PLoS Med,101231360,11.862
Diabetes care,Diabetes Care,7805975,11.857
Advanced drug delivery reviews,Adv Drug Deliv Rev,8710523,11.764
Human reproduction update,Hum Reprod Update,9507614,11.748
Leukemia,Leukemia,8704895,11.702
The lancet. Psychiatry,Lancet Psychiatry,101638123,11.588
Progress in retinal and eye research,Prog Retin Eye Res,9431859,11.587
Biological psychiatry,Biol Psychiatry,0213264,11.412
Progress in particle and nuclear physics,Prog Part Nucl Phys,101668805,11.229
Pharmacology & therapeutics,Pharmacol Ther,7905840,11.127
Trends in biotechnology,Trends Biotechnol,8310903,11.126
Trends in neurosciences,Trends Neurosci,7808616,11.124
Annual review of physiology,Annu Rev Physiol,0370600,11.115
Trends in microbiology,Trends Microbiol,9310916,11.02
Natural product reports,Nat Prod Rep,8502408,11.014
Annual review of phytopathology,Annu Rev Phytopathol,0372373,10.981
Trends in molecular medicine,Trends Mol Med,100966035,10.732
Materials horizons,Mater Horiz,101623537,10.706
Annual review of biophysics,Annu Rev Biophys,101469708,10.676
ACS catalysis,ACS Catal,101562209,10.614
Biotechnology advances,Biotechnol Adv,8403708,10.597
Progress in lipid research,Prog Lipid Res,7900832,10.583
Annual review of biomedical engineering,Annu Rev Biomed Eng,100883581,10.514
