JournalTitle,Publisher,PmcId,MedAbbr,NlmId,ImpactFactor
Theranostics,Ivyspring International Publisher,1512,Theranostics,101552395,8.712
Microbiome,BioMed Central,2290,Microbiome,101615147,8.496
eLife,"eLife Sciences Publications, Ltd",1894,Elife,101579614,7.725
mBio,American Society for Microbiology (ASM),1266,MBio,101519231,6.956
GigaScience,Oxford University Press,2056,Gigascience,101596872,6.871
Journal of the International AIDS Society,The International AIDS Society,790,J Int AIDS Soc,101478566,6.296
IUCrJ,International Union of Crystallography,2440,IUCrJ,101623101,5.793
Oncotarget,"Impact Journals, LLC",1558,Oncotarget,101532965,5.168
JMIR mHealth and uHealth,JMIR Publications Inc.,2531,JMIR Mhealth Uhealth,101624439,4.636
Mobile DNA,BioMed Central,1199,Mob DNA,101519891,4.234
Oncogenesis,Nature Publishing Group,1847,Oncogenesis,101580004,4.143
Retrovirology,BioMed Central,244,Retrovirology,101216893,3.867
Genes,Multidisciplinary Digital Publishing Institute  (MDPI),2104,Genes (Basel),101551097,3.6
Nutrients,Multidisciplinary Digital Publishing Institute  (MDPI),1692,Nutrients,101521595,3.55
Toxins,Multidisciplinary Digital Publishing Institute  (MDPI),1577,Toxins (Basel),101530765,3.03
ChemistryOpen,Wiley-Blackwell,1983,ChemistryOpen,101594811,2.918
Journal of Cancer,Ivyspring International Publisher,1305,J Cancer,101535920,2.916
EvoDevo,BioMed Central,1309,Evodevo,101525836,2.818
MicrobiologyOpen,Wiley-Blackwell,1887,Microbiologyopen,101588314,2.747
PeerJ,"PeerJ, Inc",2057,PeerJ,101603425,2.177
Journal of the International Society of Sports Nutrition,BioMed Central,521,J Int Soc Sports Nutr,101234168,2.066
Trials,BioMed Central,388,Trials,101263253,1.969
AMB Express,Springer-Verlag,1591,AMB Express,101561785,1.825
Patient preference and adherence,Dove Press,966,Patient Prefer Adherence,101475748,1.798
OncoTargets and therapy,Dove Press,1214,Onco Targets Ther,101514322,1.653
CytoJournal,Medknow Publications,271,Cytojournal,101231642,1.577
3 Biotech,Springer,1811,3 Biotech,101565857,1.361
Hereditas,BioMed Central,2986,Hereditas,0374654,1.345
JSLS : Journal of the Society of Laparoendoscopic Surgeons,Society of Laparoendoscopic Surgeons,1326,JSLS,100884618,1.256
Clinics,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,795,Clinics,16240140R,1.171
SpringerPlus,Springer-Verlag,NA,Springerplus,101597967,1.13
PhytoKeys,Pensoft Publishers,1603,PhytoKeys,101548554,1.116
i-Perception,SAGE Publications,1906,Iperception,101574031,1.051
ZooKeys,Pensoft Publishers,1355,Zookeys,101497933,1.031
Annals of Indian Academy of Neurology,Medknow Publications,974,Ann Indian Acad Neurol,101273955,0.95
Mycobiology,Korean Society of Mycology,1826,Mycobiology,100960027,0.761
