JournalTitle,MedAbbr,NlmId,ImpactFactor
"Lancet (London, England)",Lancet,2985213R,44.002
Nature biotechnology,Nat Biotechnol,9604648,43.113
Nature materials,Nat Mater,101155473,38.891
Nature,Nature,0410462,38.138
Annual review of astronomy and astrophysics,Annu Rev Astron Astrophys,101137067,37.846
Chemical reviews,Chem Rev,2985134R,37.369
Annual review of immunology,Annu Rev Immunol,8309206,35.543
Nature nanotechnology,Nat Nanotechnol,101283273,35.267
"Science (New York, N.Y.)",Science,0404511,34.661
Science,Science (80- ),8000640,34.661
Chemical Society reviews,Chem Soc Rev,0335405,34.09
Reviews of modern physics,Rev Mod Phys,0401307,33.177
Living reviews in relativity,Living Rev Relativ,101697608,32
Nature genetics,Nat Genet,9216904,31.616
Nature photonics,Nat Photonics,101283276,31.167
Progress in materials science,Prog Mater Sci,101558282,31.083
Physiological reviews,Physiol Rev,0231714,30.924
Nature medicine,Nat Med,9502015,30.357
Cell,Cell,0413066,28.71
Nature chemistry,Nat Chem,101499734,27.893
Progress in polymer science,Prog Polym Sci,0361046,27.184
Energy & environmental science,Energy Environ Sci,101513897,25.427
Nature methods,Nat Methods,101215604,25.328
Immunity,Immunity,9432918,24.082
Cancer cell,Cancer Cell,101130617,23.214
Cell stem cell,Cell Stem Cell,101311472,22.387
Annual review of plant biology,Annu Rev Plant Biol,101140127,22.131
Accounts of chemical research,Acc Chem Res,0157313,22.003
Annual review of biochemistry,Annu Rev Biochem,2985150R,21.407
World psychiatry : official journal of the World Psychiatric Association (WPA),World Psychiatry,101189643,20.205
Cancer discovery,Cancer Discov,101561693,19.783
Nature immunology,Nat Immunol,100941354,19.381
Living reviews in solar physics,Living Rev Sol Phys,101681537,19.333
Annual review of psychology,Annu Rev Psychol,0372374,19.085
Nature physics,Nat Phys,101235387,18.791
Nature cell biology,Nat Cell Biol,100890575,18.699
Pharmacological reviews,Pharmacol Rev,0421737,18.393
Gastroenterology,Gastroenterology,0374630,18.187
Advances in physics,Adv Phys,0370440,18
Trends in cognitive sciences,Trends Cogn Sci,9708669,17.85
Journal of the American College of Cardiology,J Am Coll Cardiol,8301365,17.759
Cell metabolism,Cell Metab,101233170,17.303
Circulation,Circulation,0147763,17.202
Nature climate change,Nat Clim Chang,101557419,17.184
Progress in energy and combustion science,Prog Energy Combust Sci,101606883,16.784
Trends in ecology & evolution,Trends Ecol Evol,8805125,16.735
Nature neuroscience,Nat Neurosci,9809671,16.724
Annals of internal medicine,Ann Intern Med,0372351,16.593
Annual review of condensed matter physics,Annu Rev Condens Matter Phys,101679108,16.379
Science translational medicine,Sci Transl Med,101505086,16.264
Clinical microbiology reviews,Clin Microbiol Rev,8807282,16.187
Annual review of physiology,Annu Rev Physiol,0370600,15.754
Advanced drug delivery reviews,Adv Drug Deliv Rev,8710523,15.606
Advanced energy materials,Adv Energy Mater,101557036,15.23
European heart journal,Eur Heart J,8006263,15.064
European urology,Eur Urol,7512719,14.976
Gut,Gut,2985108R,14.921
Endocrine reviews,Endocr Rev,8006258,14.898
Psychological bulletin,Psychol Bull,0376473,14.839
Cell research,Cell Res,9425763,14.812
Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol,7607088,14.769
JAMA psychiatry,JAMA Psychiatry,101589550,14.417
Applied physics reviews,Appl Phys Rev,101634369,14.31
Annual review of neuroscience,Annu Rev Neurosci,7804039,14.265
JAMA internal medicine,JAMA Intern Med,101589534,14
Neuron,Neuron,8809320,13.974
Molecular cell,Mol Cell,9802571,13.958
Studies in mycology,Stud Mycol,8411984,13.889
Nano letters,Nano Lett,101088070,13.779
FEMS microbiology reviews,FEMS Microbiol Rev,8902526,13.687
Molecular biology and evolution,Mol Biol Evol,8501455,13.649
PLoS medicine,PLoS Med,101231360,13.585
Annual review of entomology,Annu Rev Entomol,0372367,13.534
Annual review of physical chemistry,Annu Rev Phys Chem,15040080R,13.527
Nature structural & molecular biology,Nat Struct Mol Biol,101186374,13.338
ACS nano,ACS Nano,101313589,13.334
Molecular psychiatry,Mol Psychiatry,9607835,13.314
Annual review of marine science,Ann Rev Mar Sci,101536246,13.214
Progress in neurobiology,Prog Neurobiol,0370121,13.177
Progress in neurobiology,Prog Neurobiol,19830410R,13.177
Nano today,Nano Today,101297352,13.157
American journal of respiratory and critical care medicine,Am J Respir Crit Care Med,9421642,13.118
Journal of the American Chemical Society,J Am Chem Soc,7503056,13.038
Coordination chemistry reviews,Coord Chem Rev,0271103,12.994
Trends in biochemical sciences,Trends Biochem Sci,7610674,12.81
Annual review of cell and developmental biology,Annu Rev Cell Dev Biol,9600627,12.755
Nature chemical biology,Nat Chem Biol,101231976,12.709
Cell host & microbe,Cell Host Microbe,101302316,12.552
Nature geoscience,Nat Geosci,101482213,12.508
Trends in neurosciences,Trends Neurosci,7808616,12.504
Annals of the rheumatic diseases,Ann Rheum Dis,0372355,12.384
Advances in optics and photonics,Adv Opt Photonics,101635418,12.368
Annual review of fluid mechanics,Annu Rev Fluid Mech,101165244,12.333
Annual review of genetics,Annu Rev Genet,0117605,12.235
Annual review of clinical psychology,Annu Rev Clin Psychol,101235325,12.214
Leukemia,Leukemia,8704895,12.104
Trends in biotechnology,Trends Biotechnol,8310903,12.065
Blood,Blood,7603509,11.847
Trends in pharmacological sciences,Trends Pharmacol Sci,7906158,11.84
"Hepatology (Baltimore, Md.)",Hepatology,8302946,11.711
Annual review of biophysics,Annu Rev Biophys,101469708,11.625
Circulation research,Circ Res,0047103,11.551
Trends in cell biology,Trends Cell Biol,9200566,11.532
Trends in immunology,Trends Immunol,100966032,11.433
Advanced functional materials,Adv Funct Mater,101190390,11.382
Acta neuropathologica,Acta Neuropathol,0412041,11.36
Genome research,Genome Res,9518021,11.351
Nature communications,Nat Commun,101528555,11.329
Genome biology,Genome Biol,100960660,11.313
Progress in lipid research,Prog Lipid Res,7900832,11.238
Biological psychiatry,Biol Psychiatry,0213264,11.212
Human reproduction update,Hum Reprod Update,9507614,11.194
Pharmacology & therapeutics,Pharmacol Ther,7905840,11
Natural product reports,Nat Prod Rep,8502408,10.986
Annual review of medicine,Annu Rev Med,2985151R,10.954
Trends in plant science,Trends Plant Sci,9890299,10.899
Molecular aspects of medicine,Mol Aspects Med,7603128,10.86
American journal of human genetics,Am J Hum Genet,0370475,10.794
Ecology letters,Ecol Lett,101121949,10.772
Journal of hepatology,J Hepatol,8503886,10.59
Molecular systems biology,Mol Syst Biol,101235389,10.581
Annual review of microbiology,Annu Rev Microbiol,0372370,10.536
Annual review of materials research,Annu Rev Mater Res,101141239,10.39
Annual review of biomedical engineering,Annu Rev Biomed Eng,100883581,10.256
Annual review of public health,Annu Rev Public Health,8006431,10.24
Intensive care medicine,Intensive Care Med,7704851,10.125
Brain : a journal of neurology,Brain,0372537,10.103
Genes & development,Genes Dev,8711660,10.042
Seminars in cancer biology,Semin Cancer Biol,9010218,9.955
Biotechnology advances,Biotechnol Adv,8403708,9.848
Nature protocols,Nat Protoc,101284307,9.646
Annals of neurology,Ann Neurol,7707449,9.638
2d materials,2d Mater,101697361,9.611
EMBO molecular medicine,EMBO Mol Med,101487380,9.547
Immunological reviews,Immunol Rev,7702118,9.542
JAMA pediatrics,JAMA Pediatr,101589544,9.528
Trends in microbiology,Trends Microbiol,9310916,9.5
Progress in particle and nuclear physics,Prog Part Nucl Phys,101668805,9.472
