id,fau,size
A11,"Liu, Jun S",5
A4,"Li, Taiwen",3
A33,"Hacohen, Nir",1
A1,"Severson, Eric",1
A31,"Choueiri, Toni K",1
A16,"Zang, Chongzhi",2
A22,"Zhang, Shihua",1
A3,"Zhao, Haoquan",1
A18,"Deng, Ke",1
A28,"Shukla, Sachet A",1
A10,"Signoretti, Sabina",2
A35,"Li, Wei",1
A26,"Xie, Yang",1
A14,"Dou, Ruoxu",2
A0,"Li, Bo",5
A20,"Qin, Qian",1
A9,"Rodig, Scott",1
A23,"Meyer, Clifford A",1
A15,"Zhang, Jian",1
A32,"Wu, Catherine",1
A12,"Liu, X Shirley",5
A6,"Jiang, Peng",2
A25,"Brown, Myles",1
A17,"Wang, Tao",1
A36,"Wong, Yinling J",1
A29,"Chen, Qianming",1
A5,"Novak, Jesse",1
A30,"Hodi, F Stephen",1
A13,"Wang, Binbin",2
A37,"Meyer, Cliff",1
A8,"Aster, Jon C",2
A34,"Wang, Hongfang",1
A19,"Hu, Sheng'en",1
A2,"Pignon, Jean-Christophe",2
A27,"Wang, Jinzeng",1
A21,"Xiao, Tengfei",1
A24,"He, Housheng Hansen",1
A7,"Shen, Hui",1
