pubmed_id,citedin_pmc,citedin_google
12169555,17,75
12353013,25,340
12740579,495,1714
14576834,14,53
15353587,111,266
15448693,258,713
15883364,119,249
15920529,115,381
17646342,66,133
17805289,250,500
17981121,53,93
18199530,19,52
18443585,739,1700
18502943,10,22
18629022,0,1
18931682,81,157
18953355,48,112
19182780,1067,2321
19208812,92,189
19457258,3,6
19570993,2,6
19571010,811,1758
19628860,61,156
19729616,225,375
19801978,268,621
19879128,16,37
19914250,10,22
19946276,47,112
20064372,232,456
20133332,27,56
20212107,28,46
20237561,226,730
20336069,109,230
20436460,81,178
20436462,416,899
20625544,94,151
20637622,20,57
20673990,528,1169
20711195,230,497
20796282,54,101
20946821,1,2
21241896,240,461
21414481,60,130
21511999,156,270
21516085,127,259
21572440,2282,4490
21685068,14,37
21874018,552,1140
21890647,741,1444
21914852,33,58
22078882,62,118
22094988,25,42
22110045,189,360
22194413,156,243
22196736,139,239
22292986,10,22
22452820,19,44
22456710,232,511
22531001,33,64
22623730,20,56
22690377,23,44
22722833,123,204
22815802,4,8
22902786,12,39
22912562,45,75
22940246,114,215
22961052,196,448
23000141,14,30
23089682,20,35
23190424,15,73
23217706,116,301
23382184,52,105
23396133,30,86
23467085,151,358
23467089,135,296
23503680,15,24
23624555,51,93
23640720,10,28
23644507,55,102
23685454,217,452
23685885,73,144
23698349,59,123
23795289,21,41
23840936,3,3
23845962,640,1271
24157732,2,6
24269006,68,204
24319662,28,45
24584090,37,64
24604203,74,162
24726434,109,208
24745332,36,97
24752078,94,225
24778153,10,26
24786080,80,160
24919153,136,300
24925914,291,618
24952903,40,121
24981863,52,110
24984854,14,34
25079558,84,199
25214635,32,60
25219674,89,178
25263330,147,365
25291352,10,19
25437555,4,9
25471879,59,126
25497548,18,46
25505934,7,8
25582194,8,14
25630241,42,86
25646566,24,42
25745177,58,113
25819567,8,15
25867923,66,165
26000488,205,504
26084022,14,29
26189680,40,87
26343579,22,48
26355593,9,24
26422227,165,492
26430063,17,46
26467283,2,4
26481684,3,7
26607793,10,44
26607794,29,80
26638175,10,23
26651295,12,28
26687005,17,32
26780094,1,9
26824662,8,21
26838501,8,20
26900662,4,9
26912365,6,28
26963549,1,0
27058663,6,17
27121950,11,33
27124452,45,135
27256883,34,97
27307216,7,16
27346359,2,7
27399421,0,1
27471252,6,23
27565351,11,33
27610572,5,14
27640647,4,12
27642011,1,2
27670590,0,1
27708104,3,23
27806376,5,18
27824854,7,21
27846493,1,6
27984732,4,36
27984733,5,27
28099853,0,0
28102262,1,8
28166218,1,1
28333933,0,0
28346452,0,0
28360267,0,2
28408723,0,3
28428369,0,1
28537559,0,0
28544882,0,1
